time,open,high,low,close,tick_volume,spread
2021-07-19 00:00:00,1.3763,1.37633,1.37479,1.37499,1711,8
2021-07-19 01:00:00,1.37499,1.37609,1.37497,1.37534,2118,8
2021-07-19 02:00:00,1.37531,1.37569,1.37467,1.37473,1551,8
2021-07-19 03:00:00,1.37473,1.37557,1.37473,1.37555,1011,8
2021-07-19 04:00:00,1.37555,1.37607,1.37526,1.3755,872,8
2021-07-19 05:00:00,1.3755,1.3761,1.37504,1.37529,1224,8
2021-07-19 06:00:00,1.3753,1.37572,1.37466,1.37468,2275,8
2021-07-19 07:00:00,1.37467,1.37496,1.37105,1.37223,6118,8
2021-07-19 08:00:00,1.37223,1.37309,1.37016,1.37114,5145,8
2021-07-19 09:00:00,1.37113,1.3745,1.37022,1.37428,4098,8
2021-07-19 10:00:00,1.37428,1.37435,1.37028,1.37062,5939,8
2021-07-19 11:00:00,1.37062,1.37151,1.36999,1.3715,4749,8
2021-07-19 12:00:00,1.3715,1.37153,1.36874,1.3703,6661,8
2021-07-19 13:00:00,1.37032,1.37245,1.3692,1.3715,8688,8
2021-07-19 14:00:00,1.3715,1.3719,1.36613,1.36711,8332,8
2021-07-19 15:00:00,1.36712,1.36954,1.36669,1.36893,5734,8
2021-07-19 16:00:00,1.36893,1.36893,1.36667,1.36697,3047,8
2021-07-19 17:00:00,1.36695,1.36797,1.36642,1.36677,3178,8
2021-07-19 18:00:00,1.36679,1.36752,1.36579,1.36587,2738,8
2021-07-19 19:00:00,1.36587,1.36684,1.36541,1.36684,2549,8
2021-07-19 20:00:00,1.36687,1.36757,1.36671,1.36724,901,8
2021-07-19 21:00:00,1.36718,1.36732,1.36683,1.36713,268,35
2021-07-19 22:00:00,1.36708,1.36744,1.36665,1.36669,237,59
2021-07-19 23:00:00,1.36692,1.3671,1.36674,1.36683,464,12
2021-07-20 00:00:00,1.36684,1.36748,1.36657,1.36689,1335,8
2021-07-20 01:00:00,1.3669,1.36786,1.36603,1.36786,1574,8
2021-07-20 02:00:00,1.36786,1.36891,1.36774,1.36784,1391,8
2021-07-20 03:00:00,1.36784,1.36793,1.36687,1.36708,1484,8
2021-07-20 04:00:00,1.36708,1.36726,1.36604,1.36703,1236,8
2021-07-20 05:00:00,1.367,1.36718,1.36585,1.36627,1552,8
2021-07-20 06:00:00,1.36626,1.36649,1.36296,1.36317,3494,8
2021-07-20 07:00:00,1.36319,1.36551,1.36257,1.36369,5957,8
2021-07-20 08:00:00,1.36367,1.36688,1.3633,1.36647,5718,8
2021-07-20 09:00:00,1.36647,1.36764,1.36459,1.36486,4713,8
2021-07-20 10:00:00,1.36486,1.36551,1.36168,1.36183,4298,8
2021-07-20 11:00:00,1.36186,1.36324,1.36062,1.36232,3987,8
2021-07-20 12:00:00,1.36233,1.36248,1.35861,1.35934,4966,8
